DevType,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OfficeStackAsyncHaveWorkedWith,OfficeStackSyncHaveWorkedWith,AISearchDevHaveWorkedWith,ConvertedCompYearly
Data scientist or machine learning specialist,Bash/Shell (all shells);C++;Fortran;Julia;MATLAB;Python;Rust,MongoDB,Amazon Web Services (AWS);Cloudflare;Google Cloud;VMware,NA,Cargo;doctest;GNU GCC;LLVM's Clang,DirectX;Keras;NumPy;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,APT;Docker;Make;Pip,IPython;Jupyter Notebook/JupyterLab;Kate;Notepad++;Spyder;Visual Studio Code,Confluence;Jira;Markdown File,Discord;Google Chat;Google Meet;Mattermost;Microsoft Teams;Signal;Skype;Slack;Telegram;Whatsapp;Zoom,ChatGPT;GitHub Copilot,185000
Data scientist or machine learning specialist,Python;R;SQL,BigQuery;Firebase Realtime Database;Microsoft SQL Server;MongoDB,Databricks;Google Cloud;Microsoft Azure,WordPress,NA,Pandas;Tidyverse,NA,IPython;Jupyter Notebook/JupyterLab;Notepad++;RStudio,Azure Devops,Microsoft Teams;Zoom,Bing AI;ChatGPT;Google Gemini,77284
Data engineer,Python;Scala,PostgreSQL,Amazon Web Services (AWS),NA,NA,NA,Docker;Maven (build tool),IntelliJ IDEA;PyCharm;Visual Studio Code,Jira,Microsoft Teams,NA,29000
Data scientist or machine learning specialist,C;Python;R,Databricks SQL,Databricks;Microsoft Azure,NA,NA,Apache Spark;NumPy;Pandas;Scikit-Learn;Tidyverse,Docker;Make;Pip,Jupyter Notebook/JupyterLab;Notepad++;RStudio;Visual Studio Code,Asana;Confluence;Jira;Lucid;Markdown File,Microsoft Teams;Slack;Zoom,GitHub Copilot;WolframAlpha,200000
Data or business analyst,C;C#;Clojure;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL;SQLite,NA,ASP.NET;ASP.NET CORE;Blazor;FastAPI;Htmx;jQuery;Next.js;Node.js;React,Rasberry Pi,.NET (5+) ,APT;Docker;Godot;Maven (build tool);npm,Neovim;Notepad++;Vim;Visual Studio;Visual Studio Code,Microsoft Planner,Whatsapp,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha,94501
Data scientist or machine learning specialist,Python;SQL,Clickhouse;MariaDB,Cloudflare,NA,NA,Apache Kafka;NumPy;Pandas;Ruff;Scikit-Learn,Docker;Pip,Jupyter Notebook/JupyterLab;PyCharm;Vim;Visual Studio Code,Confluence;Jira;Notion,Discord;Google Meet;Mattermost;Skype;Telegram;Zoom,ChatGPT;GitHub Copilot,98277
"Developer, AI",Kotlin;Python,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),FastAPI;Spring Boot,NA,NA,Docker;Gradle;Homebrew;Kubernetes,IntelliJ IDEA;PyCharm;Sublime Text,NA,Google Meet;Slack,ChatGPT;GitHub Copilot,121018
"Developer, AI",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Couch DB;Databricks SQL;Dynamodb;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Databricks;Digital Ocean;Heroku;Microsoft Azure,Angular;AngularJS;FastAPI;jQuery;Node.js;Svelte;Vue.js,NA,Apache Kafka;Apache Spark;CUDA;Hugging Face Transformers;mlflow;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,Docker;Kubernetes;npm;Pip;Terraform;Vite,Jupyter Notebook/JupyterLab;Notepad++;RStudio;Vim;Visual Studio Code,Confluence;GitHub Discussions;Jira;Trello,Discord;Microsoft Teams;Zoom,ChatGPT;Google Gemini;Meta AI,108000
Data scientist or machine learning specialist,Bash/Shell (all shells);C++;Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,PostgreSQL;SQLite,NA,Django;Node.js;Svelte,NA,Flutter;NumPy;Pandas;Scikit-Learn;Tauri;TensorFlow;Torch/PyTorch,APT;Docker;Gradle;Homebrew;Make;npm;Pip;Vite,Visual Studio Code,Clickup;Jira;Redmine,Google Chat;Google Meet;Whatsapp;Zoom,ChatGPT,12266
Data engineer,Python,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),NA,NA,Apache Spark;Pandas,Docker,Visual Studio Code,Confluence;GitHub Discussions;Markdown File;Notion,Discord;Microsoft Teams;Slack,ChatGPT,30000
Data scientist or machine learning specialist,C++;Python,Redis,Google Cloud,NA,NA,NA,NA,Visual Studio Code,YouTrack,Signal;Slack;Zoom,ChatGPT;Claude;GitHub Copilot,650000
Data engineer,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Ruby;SQL,DuckDB;Elasticsearch;Microsoft SQL Server;SQLite,Microsoft Azure,Ruby on Rails,NA,NA,APT;Docker;Homebrew;npm,Sublime Text;Vim;Visual Studio Code,GitHub Discussions;Jira;Markdown File;Wikis,Discord;Microsoft Teams;Slack;Zoom,ChatGPT;GitHub Copilot;Perplexity AI,150000
Data engineer,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;SQL;VBA;Visual Basic (.Net),Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Firebase;IBM Cloud Or Watson,Angular;ASP.NET;jQuery,NA,.NET (5+) ;Flutter;Hadoop;Pandas;TensorFlow,Visual Studio Solution,Android Studio;Eclipse;Notepad++;Visual Studio;Visual Studio Code,Airtable;Azure Devops;Smartsheet,Google Chat;Slack;Zoom,Amazon Q;ChatGPT;Visual Studio Intellicode,340000
"Developer, AI",Elixir;Erlang;JavaScript;Lua;Python;Rust;SQL;TypeScript;Zig,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Fly.io,Phoenix,Arduino;CMake;GNU GCC;LLVM's Clang;Rasberry Pi,Hugging Face Transformers;JAX,Make;Terraform,Jupyter Notebook/JupyterLab;Nano;Neovim;Vim;Visual Studio Code,Linear;Notion;Obsidian,Discord;Google Meet;Slack;Zoom,ChatGPT;Claude;GitHub Copilot;Google Gemini,245000
Data scientist or machine learning specialist,Bash/Shell (all shells);Fortran;Python;SQL,PostgreSQL;Snowflake,Amazon Web Services (AWS),NA,CMake;GNU GCC;Meson;Ninja,NumPy;Opencv;Pandas;Ruff;Scikit-Learn,Docker;Make;Ninja;Pacman;Pip,Neovim;Vim,Jira,Ringcentral;Slack;Whatsapp,NA,72693
Data or business analyst,Python;SQL,Microsoft SQL Server,Microsoft Azure,NA,NA,NumPy;Pandas,Pip,Visual Studio Code,Azure Devops,Microsoft Teams,NA,35182
Data engineer,Python,DuckDB;Microsoft SQL Server;PostgreSQL;Snowflake,Amazon Web Services (AWS);Microsoft Azure,FastAPI,NA,Apache Spark;Pandas,Docker;Kubernetes;Pulumi,Neovim;Visual Studio Code,Azure Devops;Jira,Microsoft Teams;Slack,ChatGPT,76307
Data engineer,C;C++;Python;SQL,MongoDB;SQLite,Amazon Web Services (AWS),FastAPI;Flask,CMake;GNU GCC,Hugging Face Transformers;NumPy;RabbitMQ;TensorFlow;Torch/PyTorch,APT;Chocolatey;Docker;Homebrew;Make;Pip,CLion;Jupyter Notebook/JupyterLab;Nano;PyCharm;Visual Studio Code,Clickup;Markdown File;Notion,Google Meet;Slack,Quora Poe,30718
Data engineer,Groovy;Java;PHP;Python;R,Databricks SQL;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS);Databricks;Microsoft Azure,NA,NA,Pandas,NA,Geany;IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio;Visual Studio Code,Azure Devops;Confluence,Discord;Google Chat;Google Meet;Microsoft Teams;Skype;Slack;Telegram;Whatsapp,Bing AI;ChatGPT,15553
Data engineer,HTML/CSS;JavaScript;Python;Rust;SQL,Clickhouse;Elasticsearch;MongoDB;MySQL;Redis,NA,FastAPI;React,NA,Apache Kafka;RabbitMQ,APT;Docker;Kubernetes;npm;Pip;Podman,IntelliJ IDEA;PyCharm;Sublime Text,Markdown File,Mattermost,NA,46185
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,PostgreSQL,Amazon Web Services (AWS),FastAPI;React,NA,Hugging Face Transformers;NumPy;Ruff;SwiftUI;Torch/PyTorch,Docker;Homebrew;Nix;Pip;Pulumi,Visual Studio Code,Confluence;Jira;Obsidian,Discord;Google Meet;Slack;Zoom,ChatGPT;GitHub Copilot;Google Gemini,225000
Data scientist or machine learning specialist,MATLAB;Python;R,NA,Google Cloud,NA,NA,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Pip,IPython;Jupyter Notebook/JupyterLab;Notepad++;RStudio;Spyder;Visual Studio Code,Markdown File,Microsoft Teams;Whatsapp;Zoom,NA,35014
Data scientist or machine learning specialist,Bash/Shell (all shells);Haskell;Julia;MATLAB;OCaml;Python;Scala;SQL,PostgreSQL;SQLite,NA,FastAPI,NA,CUDA;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Docker;Make;Pip,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm;Spyder;Visual Studio Code,NA,Microsoft Teams;Slack,Tabnine,65221
Data engineer,JavaScript;Python;SQL,Databricks SQL;Dynamodb;PostgreSQL,Amazon Web Services (AWS);Databricks;Microsoft Azure,Node.js;React,NA,Apache Spark;Pandas,Pip;Terraform,PyCharm;Visual Studio Code,Confluence;Jira;Miro;Trello,Microsoft Teams,ChatGPT,7046
Data engineer,C#;MicroPython;Python;SQL,Databricks SQL;InfluxDB;Microsoft SQL Server;PostgreSQL,NA,NA,Rasberry Pi,NumPy;Opencv;Pandas;TensorFlow;Torch/PyTorch,Pip,Jupyter Notebook/JupyterLab;Visual Studio Code,Markdown File;Microsoft Planner,Microsoft Teams,NA,53703
Data scientist or machine learning specialist,Dart;Go;HTML/CSS;Java;Python;SQL,PostgreSQL;SQLite,Amazon Web Services (AWS);Hetzner;Vultr,Django;Flask,NA,Apache Spark;Flutter,NA,Android Studio;Vim;Visual Studio Code,Confluence,Discord;Skype,ChatGPT;GitHub Copilot;OpenAI Codex,24113
Data engineer,C#;SQL,Microsoft SQL Server;MongoDB;MySQL;Oracle,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE,NA,.NET (5+) ;.NET Framework (1.0 - 4.8),NuGet,Notepad++;Sublime Text;Visual Studio,Azure Devops;Jira,Microsoft Teams,ChatGPT,40814
Data engineer,HTML/CSS;Java;JavaScript;SQL;TypeScript,H2;Microsoft SQL Server;Oracle;PostgreSQL,Cloudflare;Heroku,Django;Node.js;React;Spring Boot,NA,Qt;Spring Framework,Docker;Maven (build tool);npm;Webpack,IntelliJ IDEA;Kate;Nano;Notepad++;PyCharm;Sublime Text;Visual Studio Code,Confluence;Jira,Discord;Telegram,Codeium;Tabnine,36975
Data engineer,HTML/CSS;JavaScript;Python;SQL,BigQuery;PostgreSQL;Redis,Google Cloud;Netlify,Django;React,NA,NA,Chef;Docker;npm;Pip,Vim;Visual Studio Code,Clickup;Markdown File;Redmine,Whatsapp,ChatGPT;GitHub Copilot,198326
"Developer, AI",C;JavaScript;Python;TypeScript,MySQL;SQLite,Hetzner;Microsoft Azure,FastAPI;NestJS;Next.js;React,GNU GCC,Pandas;Ruff,Docker;Make;npm;Pip;Yarn,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Jira;Markdown File,Discord;Microsoft Teams;Signal;Telegram,ChatGPT,78966
"Developer, AI",PowerShell;Python;SQL,Microsoft SQL Server,Microsoft Azure,Flask;WordPress,NA,NumPy;Opencv;Scikit-Learn;Torch/PyTorch,NA,Visual Studio Code,Monday.com;Trello,Discord;Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,Bing AI;ChatGPT,75184
Data scientist or machine learning specialist,Python,NA,NA,NA,NA,Apache Spark;Hadoop;JAX;NumPy;Pandas;Scikit-Learn;TensorFlow,Docker,Visual Studio Code,Confluence;Jira,Slack;Whatsapp;Zoom,ChatGPT;Cody,161109
Data or business analyst,R;SQL;VBA,Microsoft SQL Server,NA,NA,NA,NA,NA,RStudio,NA,Google Meet;Microsoft Teams;Whatsapp,ChatGPT,58637
Data engineer,Clojure;HTML/CSS;Java;JavaScript;Lisp;Python;SQL,Cassandra;H2;PostgreSQL;Snowflake,Amazon Web Services (AWS),Spring Boot,Arduino,Apache Spark;Hadoop;Spring Framework,Docker;Homebrew;Maven (build tool),DataGrip;Emacs;IntelliJ IDEA,Notion;Obsidian;Shortcut,Discord;Slack;Zulip,ChatGPT,61866
Data scientist or machine learning specialist,C++;HTML/CSS;Python,NA,Microsoft Azure,WordPress,CMake;GNU GCC,CUDA;Keras;NumPy;Opencv;Pandas;TensorFlow,Docker;Pip,Nano;Notepad++;PyCharm,Jira;Trello,Matrix;Microsoft Teams;Signal;Whatsapp;Zoom,NA,53703
Data engineer,JavaScript;R;SQL,Oracle,Microsoft Azure,NA,NA,NA,Gradle,RStudio;Sublime Text;Visual Studio Code,Jira,Mattermost;Zoom,ChatGPT;Google Gemini,55708
Data scientist or machine learning specialist,Python,Snowflake,Amazon Web Services (AWS),NA,NA,mlflow;NumPy;Pandas,Pip,Jupyter Notebook/JupyterLab;PyCharm,Jira;Notion,Slack;Zoom,ChatGPT;GitHub Copilot,194286
Data engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript,BigQuery;Cloud Firestore;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud,CodeIgniter;Django;Express;FastAPI;Next.js;Node.js;Nuxt.js;React;Vue.js,NA,NumPy;Pandas,Docker;npm;Pacman;Pip;Terraform;Webpack,IPython;Jupyter Notebook/JupyterLab;Nano;Neovim;RStudio;Vim;Visual Studio Code,Jira;Trello,Google Chat;Google Meet;Slack;Whatsapp,NA,29909
"Developer, AI",HTML/CSS;JavaScript;Python;SQL;TypeScript,SQLite,NA,React,NA,NumPy;Pandas;Ruff;Torch/PyTorch,NA,Jupyter Notebook/JupyterLab;Visual Studio Code,NA,NA,ChatGPT,50058
Data scientist or machine learning specialist,Bash/Shell (all shells);C#;C++;JavaScript;MATLAB;PHP;Python;Scala;TypeScript,MySQL;PostgreSQL;SQLite,NA,AngularJS;FastAPI,Arduino;PlatformIO;Rasberry Pi,NumPy;Pandas;RabbitMQ;Ruff;Scikit-Learn;Torch/PyTorch,Docker;Homebrew,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;GitHub Discussions;Jira;Markdown File,Matrix;Slack,ChatGPT,46185
"Developer, AI",C#;Dart;F#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift;TypeScript;VBA;Visual Basic (.Net),Cloud Firestore;Dynamodb;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase,Angular;AngularJS;ASP.NET;ASP.NET CORE;FastAPI;jQuery;Laravel;Node.js;WordPress,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);Flutter;Pandas;React Native;Xamarin,Dagger;Docker;Gradle;Homebrew;Kubernetes;Make;npm;Pip,Android Studio;Eclipse;IntelliJ IDEA;Netbeans;Notepad++;PyCharm;Visual Studio;Visual Studio Code;Xcode,Jira;Linear;Notion,Discord;Google Chat;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;GitHub Copilot,30000
Data engineer,C#;Python,SQLite,NA,NA,GNU GCC;Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;Pandas;Qt;Scikit-Learn,Visual Studio Solution,Eclipse;Jupyter Notebook/JupyterLab;Visual Studio;Visual Studio Code,Redmine;Wikis,Microsoft Teams,Bing AI;ChatGPT;Visual Studio Intellicode,53703
Data engineer,Java;JavaScript;Python;Scala,Clickhouse;Dynamodb;MariaDB;Microsoft SQL Server,Amazon Web Services (AWS),Node.js,NA,Apache Kafka;Apache Spark;Hadoop,Terraform,IntelliJ IDEA;Notepad++;PyCharm;WebStorm,Confluence;Jira;Miro,Microsoft Teams;Slack,NA,70888
"Developer, AI",Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud;Hetzner;Vercel,Astro;Next.js;Node.js;Spring Boot,NA,Apache Kafka;NumPy;Pandas;Spring Framework,Docker;Gradle;Homebrew;Kubernetes;Make;Nix,Goland;IntelliJ IDEA;WebStorm,Clickup;Jira;Miro;Notion,Google Chat;Google Meet;Signal,ChatGPT,60147
Data or business analyst,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL,IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle,NA,NA,GNU GCC,NA,NA,Notepad++,Confluence;Jira,Microsoft Teams;Zoom,NA,47259
Data scientist or machine learning specialist,Bash/Shell (all shells);Python,NA,NA,FastAPI,NA,NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Homebrew;npm;Pip,Visual Studio Code,Confluence;GitHub Discussions;Jira;Markdown File;Miro,Google Meet;Microsoft Teams;Slack,NA,48333
Data or business analyst,HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;Microsoft Access;MySQL,NA,Angular;CodeIgniter;jQuery,NA,NA,Composer;Pip,Notepad++;Visual Studio Code,NA,Microsoft Teams;Telegram;Zoom,ChatGPT;Google Gemini;Tabnine,5572
Data or business analyst,C#;HTML/CSS;PowerShell;SQL,Microsoft SQL Server;MySQL,Microsoft Azure,ASP.NET,NA,.NET Framework (1.0 - 4.8),NuGet;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Microsoft Planner,Microsoft Teams;Zoom,Bing AI;ChatGPT;Google Gemini,38216
Data engineer,Bash/Shell (all shells);Groovy;Java;Python;Scala;SQL,PostgreSQL,Amazon Web Services (AWS);IBM Cloud Or Watson,Spring Boot,NA,Apache Kafka;Apache Spark;Hadoop;Spring Framework,Docker;Maven (build tool);Pip;Podman,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;Vim;Visual Studio Code,Clickup;GitHub Discussions;Jira;Markdown File,Google Meet;Microsoft Teams;Whatsapp;Zoom,NA,16560
"Developer, AI",Bash/Shell (all shells);PowerShell;Python;SQL,Cosmos DB;MongoDB;MySQL;Oracle;PostgreSQL,Microsoft Azure,Django;FastAPI;Flask,NA,CUDA;Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Kubernetes;Pip,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Confluence;Jira,Microsoft Teams;Skype,ChatGPT,122559
Data scientist or machine learning specialist,Bash/Shell (all shells);Python,MongoDB;MySQL;Redis,Amazon Web Services (AWS),NA,NA,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,APT;Docker;Homebrew;Pip,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio Code,Confluence;Jira;Markdown File;Miro,Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;Cody;Google Gemini,75184
Data scientist or machine learning specialist,Java;MATLAB;Python;R;SQL,BigQuery;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,NA,NA,Pandas;Ruff;Scikit-Learn,NA,Visual Studio Code,Azure Devops;Confluence;Jira,Microsoft Teams;Slack;Whatsapp;Zoom,ChatGPT;GitHub Copilot;Visual Studio Intellicode,63694
Data scientist or machine learning specialist,C++;Java;Python;SQL;VBA,Presto,NA,NA,GNU GCC,.NET (5+) ;NumPy;Pandas,Ant;Maven (build tool);MSBuild;Yarn,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Jira,Whatsapp;Zoom,ChatGPT;Google Gemini;Meta AI;Visual Studio Intellicode,308945
Data scientist or machine learning specialist,Python;SQL,MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS),FastAPI,NA,CUDA;NumPy;Pandas;Ruff;Scikit-Learn;Torch/PyTorch,Docker;Pip,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Visual Studio Code,Jira;Trello,Google Meet;Slack;Whatsapp;Zoom,Visual Studio Intellicode,100651
Data engineer,Bash/Shell (all shells);C#;C++;PowerShell;Python;Swift;TypeScript,Cosmos DB;MongoDB,Microsoft Azure,NA,Rasberry Pi,.NET (5+) ;NumPy;Pandas;RabbitMQ;SwiftUI,Docker;Kubernetes;Pip,Notepad++;PyCharm;Visual Studio Code,Microsoft Planner;Notion,Microsoft Teams;Slack;Telegram;Whatsapp,ChatGPT,60147
Data engineer,Python;SQL,PostgreSQL;SQLite,Amazon Web Services (AWS),NA,NA,Hugging Face Transformers;NumPy;Pandas,Homebrew;Pip,Jupyter Notebook/JupyterLab;Neovim;Sublime Text;Visual Studio Code;Xcode,Jira;Markdown File,Discord;Mattermost;Zoom,ChatGPT;Visual Studio Intellicode,98000
Data scientist or machine learning specialist,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,BigQuery;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Managed Hosting,FastAPI;Flask,NA,CUDA;Keras;NumPy;Opencv;OpenGL;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;npm;Pip;Webpack,Eclipse;IPython;Jupyter Notebook/JupyterLab;Nano;Notepad++;PyCharm;RStudio;Vim;Visual Studio Code,Confluence;Jira;Markdown File;Miro;Trello,Discord;Google Meet;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,Snyk Code;Visual Studio Intellicode,60147
Data or business analyst,Bash/Shell (all shells);C,NA,NA,NA,NA,NA,NA,Vim,Confluence;Markdown File;Trello,Microsoft Teams,NA,34370
Data engineer,Bash/Shell (all shells);Python;SQL,Snowflake,Amazon Web Services (AWS),NA,NA,Apache Kafka;RabbitMQ,Docker;Kubernetes;Terraform,IntelliJ IDEA;Sublime Text,Jira,Google Meet;Slack;Zoom,Codeium,80555
Data scientist or machine learning specialist,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MicroPython;PowerShell;Prolog;Python;SQL;TypeScript,Cosmos DB;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Managed Hosting;Microsoft Azure,ASP.NET;ASP.NET CORE;Django;FastAPI;Flask;jQuery;React;Spring Boot,CMake;Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;Apache Spark;CUDA;Electron;Flutter;GTK;Hugging Face Transformers;JAX;Keras;NumPy;Opencv;OpenGL;Pandas;Qt;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Composer;Docker;Gradle;Kubernetes;Make;Ninja;npm;NuGet;Pip,CLion;DataGrip;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm;Rider;WebStorm,Azure Devops;GitHub Discussions;Jira;Markdown File;Notion,Discord;Google Meet;IRC;Matrix;Microsoft Teams;Signal;Telegram;Whatsapp,Bing AI;ChatGPT;GitHub Copilot;Google Gemini,15037
Data engineer,C++;Python;SQL,Databricks SQL;Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Databricks;Microsoft Azure,FastAPI;Flask,Rasberry Pi,Apache Kafka;Apache Spark;Hadoop;Hugging Face Transformers;mlflow;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow,APT;Chocolatey;Docker;Homebrew;Kubernetes;Make;Pip;Terraform,DataGrip;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Confluence;GitHub Discussions;Trello,Discord;Google Chat;Google Meet;Microsoft Teams;Slack,ChatGPT;GitHub Copilot;Google Gemini,57999
Data engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Scala;SQL,DuckDB;PostgreSQL;Presto;Redis;SQLite,Amazon Web Services (AWS),Flask,Arduino,Apache Kafka;Apache Spark;mlflow;NumPy;Pandas;Scikit-Learn,Docker;Make;Pip,DataGrip;Jupyter Notebook/JupyterLab;PyCharm,Jira;Markdown File;Notion;Trello,Google Meet;Slack;Zoom,ChatGPT;GitHub Copilot,54728
Data engineer,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL,Microsoft SQL Server;MongoDB;Redis,Microsoft Azure;OpenStack,ASP.NET CORE;Blazor;Flask;Node.js;React,Arduino;Rasberry Pi,.NET (5+) ;.NET MAUI;Cordova;Electron;Pandas;RabbitMQ;React Native,Docker;Gradle;npm;NuGet;Pip;Visual Studio Solution,Android Studio;Eclipse;Jupyter Notebook/JupyterLab;Nano;Visual Studio;Visual Studio Code,Azure Devops;Jira,Discord;Microsoft Teams;Signal;Slack;Telegram;Whatsapp,NA,95000
Data engineer,SQL,Microsoft SQL Server;Oracle;Snowflake,Oracle Cloud Infrastructure (OCI);VMware,NA,NA,NA,NA,Notepad++,Confluence;Jira;Miro,Microsoft Teams,NA,81528
Data engineer,Bash/Shell (all shells);C#;PowerShell;Python;SQL,Microsoft Access;Microsoft SQL Server,Microsoft Azure,ASP.NET CORE;Blazor,NA,.NET (5+) ;Pandas,Docker;MSBuild;NuGet;Pip;Visual Studio Solution,Notepad++;PyCharm;Visual Studio,Azure Devops;Confluence;Jira;Microsoft Planner;Miro,Microsoft Teams;Signal,ChatGPT;GitHub Copilot,38666
Data engineer,Bash/Shell (all shells);JavaScript;Python;TypeScript,PostgreSQL;Redis,Amazon Web Services (AWS),Django;Flask;jQuery;React,NA,Apache Kafka;Pandas,Docker;Kubernetes;npm;Webpack,Vim;Visual Studio Code,Airtable;Jira;Notion,Google Meet;Slack;Telegram;Zoom,ChatGPT,67200
Data or business analyst,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;R;Solidity;SQL;TypeScript;VBA,BigQuery;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Snowflake,Amazon Web Services (AWS);Google Cloud;IBM Cloud Or Watson;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);Vercel;VMware,Angular;FastAPI;jQuery;Next.js;Node.js;React;Solid.js;WordPress,NA,NumPy;Pandas;TensorFlow;Tidyverse;Torch/PyTorch;Xamarin,npm;Pip;Unity 3D,Android Studio;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio;Visual Studio;Visual Studio Code,Azure Devops;Confluence;GitHub Discussions;Markdown File;Microsoft Lists;Microsoft Planner,Microsoft Teams,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Quora Poe;Replit Ghostwriter;WolframAlpha;Tabnine;Whispr AI,58799
Data engineer,C#;Groovy;HTML/CSS;Java;JavaScript;PHP;Ruby;SQL;TypeScript,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Blazor;Laravel;Node.js;Ruby on Rails;Spring Boot,NA,Hadoop;RabbitMQ;React Native;Spring Framework,Composer;Docker;Gradle;Maven (build tool);Vite;Yarn,IntelliJ IDEA;Nano;Visual Studio;Visual Studio Code,Azure Devops;Confluence;Jira;Stack Overflow for Teams,Discord;Microsoft Teams;Slack;Zoom,NA,65969
